sample,group
P19107_1001,RoK_IgAN
P19107_1002,RoK_IgAN
P19107_1003,RoK_IgAN
P19107_1004,Glomerular_IgAN
P19107_1005,RoK_IgAN
P19107_1006,RoK_IgAN
P19107_1007,RoK_IgAN
P19107_1008,Glomerular_IgAN
P19107_1009,RoK_IgAN
P19107_1010,RoK_IgAN
P19107_1011,Glomerular_IgAN
P19107_1012,RoK_IgAN
P19107_1013,RoK_IgAN
P19107_1014,Glomerular_IgAN
P19107_1015,RoK_IgAN
P19107_1016,RoK_IgAN
P19107_1017,RoK_IgAN
P19107_1018,RoK_IgAN
P19107_1019,RoK_IgAN
P19107_1020,RoK_IgAN
P19107_1021,RoK_IgAN
P19107_1022,RoK_IgAN
P19107_1023,RoK_IgAN
P19107_1024,Glomerular_IgAN
P19107_1025,RoK_IgAN
P19107_1026,RoK_IgAN
P19107_1027,RoK_IgAN
P19107_1028,RoK_IgAN
P19107_1029,RoK_IgAN
P19107_1030,RoK_IgAN
P19107_1031,RoK_IgAN
P19107_1032,RoK_IgAN
P19107_1033,RoK_IgAN
P19107_1034,RoK_IgAN
P19107_1035,RoK_IgAN
P19107_1036,RoK_IgAN
P19107_1037,RoK_IgAN
P19107_1038,Glomerular_IgAN
P19107_1039,RoK_IgAN
P19107_1040,RoK_IgAN
P19107_1041,RoK_IgAN
P19107_1042,RoK_IgAN
P19107_1043,RoK_IgAN
P19107_1044,RoK_IgAN
P19107_1045,RoK_IgAN
P19107_1046,Glomerular_IgAN
P19107_1047,RoK_IgAN
P19107_1048,RoK_IgAN
P19107_1049,RoK_IgAN
P19107_1050,RoK_IgAN
P19107_1051,RoK_IgAN
P19107_1052,RoK_IgAN
P19107_1053,RoK_IgAN
P19107_1054,RoK_IgAN
P19107_1055,RoK_IgAN
P19107_1056,RoK_IgAN
P19107_1057,RoK_IgAN
P19107_1058,RoK_IgAN
P19107_1059,RoK_LD
P19107_1060,RoK_LD
P19107_1061,RoK_LD
P19107_1062,RoK_LD
P19107_1063,RoK_LD
P19107_1064,RoK_LD
P20305_1001,Glomerular_IgAN
P20305_1002,RoK_IgAN
P20305_1003,Glomerular_IgAN
P20305_1004,Glomerular_IgAN
P20305_1005,Glomerular_IgAN
P20305_1006,Glomerular_IgAN
